qin,bin,mean,std,count
10,14.083333333333334,0.7939300920955346,0.01726750115459983,50
10,14.627777777777778,0.7870846058155693,0.01686706588969055,61
10,15.172222222222222,0.7773484359105941,0.015713715246066472,61
10,15.716666666666669,0.7674557074193371,0.01473875658596344,101
10,16.261111111111113,0.7664458534930679,0.01477053635478422,127
10,16.805555555555557,0.7744816453581246,0.01597760684360481,133
10,17.35,0.7709048307643431,0.01169671999472468,186
10,17.894444444444446,0.7660101242242332,0.009562833136637687,235
10,18.43888888888889,0.7680558552715312,0.012108750882799526,224
10,18.983333333333334,0.7693721554469124,0.013579599256429696,226
10,19.52777777777778,0.7787981097819976,0.014225077694492095,26
